page,subject,pathway,tier,block,rule,severity,evidence
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,quiz,1-count,critical,3 questions — below absolute floor of 5
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""INSULIN lowers blood glucose by promoting GLYCOGEN STORAGE (glucose → glycogen)."""
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
biology/inheritance/genetic-inheritance,biology,triple,higher,quiz,1-count,critical,3 questions — below absolute floor of 5
biology/inheritance/genetic-inheritance,biology,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/inheritance/genetic-inheritance,biology,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/inheritance/genetic-inheritance,biology,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""A CARRIER (Bb) has the recessive allele but does NOT show the condition — they appear comp"""
biology/inheritance/genetic-inheritance,biology,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
biology/inheritance/genetic-inheritance,biology,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
biology/inheritance/genetic-inheritance,biology,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
biology/inheritance/genetic-inheritance,biology,triple,higher,quiz,1-register,minor,0/3 stems use an AQA command word (AI review)
biology/inheritance/inherited-disorders,biology,triple,higher,quiz,1-count,critical,2 questions — below absolute floor of 5
biology/inheritance/inherited-disorders,biology,triple,higher,fifa,2-example-count,major,1 worked example(s) — minimum 3
biology/inheritance/inherited-disorders,biology,triple,higher,fifa,2-practice-absent,major,no interactive practice mode (systemic: current template renders static steps only)
biology/inheritance/inherited-disorders,biology,triple,higher,common_mistake,3-mistake-first,major,"first sentence states info, not a student mistake (AI review): ""Cystic fibrosis is RECESSIVE — both parents can be unaffected carriers."""
biology/inheritance/inherited-disorders,biology,triple,higher,fifa,2-tier-duplication,major,FIFA block identical to Foundation variant — fake differentiation
biology/inheritance/inherited-disorders,biology,triple,higher,quiz,5-tier-integrity,major,"Test Yourself identical to Foundation variant — same page, harder badge"
biology/inheritance/inherited-disorders,biology,triple,higher,quiz,1-triple-depth,major,Test Yourself identical to Combined higher — no Triple-only depth questions (rule 1 asks for ≥2)
